title,author,avg_rating,num_ratings,num_reviews,awards,pages,orginal_publish_year,g3,g1,g2,url,Series,places,Root
"
      The Hunger Games
","
  by


Suzanne Collins



",4.33,6532315,173686,"
                  Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)
                      ...more
                          Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)
...less                ",374,2008,Young Adult,Fiction,Science Fiction,https://www.goodreads.com/book/show/2767052-the-hunger-games,1,"
    District 12, Panem

    
    Capitol, Panem

    
    Panem

(United States)


    
",undefined
"
      Harry Potter and the Order of the Phoenix
","
  by


J.K. Rowling, 


Mary GrandPré (Illustrator)



",4.50,2581093,43636,"
                  Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)
                      ...more
                          Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)
...less                ",870,2003,,,,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,1,"
    Hogwarts School of Witchcraft and Wizardry

(United Kingdom)


    
    London, England

    
",undefined
"
      To Kill a Mockingbird
","
  by


Harper Lee



",4.28,4627395,92943,,324,1960,,,,,,,
"
      Pride and Prejudice
","
  by


Jane Austen, 


Anna Quindlen (Introduction)



",4.27,3086884,69409,"
All Editions

 | 

Add a New Edition


 | 

Combine
",279,1813,,,,,,,
"
      Twilight
","
  by


Stephenie Meyer



",3.60,5087195,105670,"
                  Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)
                      ...more
                          West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)
...less                ",501,2005,Young Adult,Fantasy,Romance,https://www.goodreads.com/book/show/41865.Twilight,1,"
    Forks, Washington

(United States)


    
    Phoenix, Arizona

(United States)


    
    Washington (state)

(United States)


    
",undefined
"
      The Book Thief
","
  by


Markus Zusak (Goodreads Author)



",4.37,1887478,114588,,552,2005,,,,,,,
"
      Animal Farm
","
  by


George Orwell, 


Russell Baker (Preface), 


C.M. Woodhouse (Introduction)



",3.95,2822715,57959,,141,1945,,,,,,,
"
      The Chronicles of Narnia
","
  by


C.S. Lewis, 


Pauline Baynes (Illustrator)



",4.26,532809,10525,,767,1956,,,,,,,
"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
","
  by


J.R.R. Tolkien



",4.60,112416,1815,,1728,1955,,,,,,,
"
      The Fault in Our Stars
","
  by


John Green (Goodreads Author)



",4.20,3663757,156510,,313,2012,,,,,,,
"
      Gone with the Wind
","
  by


Margaret Mitchell



",4.30,1089454,20079,,1037,1936,,,,,,,
"
      The Hitchhiker's Guide to the Galaxy
","
  by


Douglas Adams



",4.22,1475256,30971,,193,1979,,,,,,,
"
      The Giving Tree
","
  by


Shel Silverstein



",4.37,927003,18177,,64,1964,,,,,,,
"
      Wuthering Heights
","
  by


Emily Brontë, 


Richard J. Dunn (Editor), 


Charlotte Brontë (Commentary), 


Robert Heindel (Illustrator)



",3.86,1375165,38368,,464,1847,,,,,,,