num_ratings,num_reviews,title,series,Root
6532918,173696,"
      The Hunger Games
",1,undefined
2581093,43636,"
      Harry Potter and the Order of the Phoenix
",1,undefined
4627860,92947,"
      To Kill a Mockingbird
",1,undefined
3087328,69415,"
      Pride and Prejudice
",1,undefined
5087195,105670,"
      Twilight
",1,undefined
1887478,114588,"
      The Book Thief
",0,undefined
2823160,57964,"
      Animal Farm
",0,undefined
532857,10524,"
      The Chronicles of Narnia
",1,undefined
112416,1815,"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",1,undefined
3664504,156518,"
      The Fault in Our Stars
",0,undefined
1089454,20079,"
      Gone with the Wind
",0,undefined
1475256,30971,"
      The Hitchhiker's Guide to the Galaxy
",1,undefined
927076,18179,"
      The Giving Tree
",0,undefined
1375313,38376,"
      Wuthering Heights
",0,undefined
1973549,47655,"
      The Da Vinci Code
",1,undefined
997179,31925,"
      The Picture of Dorian Gray
",0,undefined
1744415,30447,"
      Memoirs of a Geisha
",0,undefined
469611,10879,"
      Alice's Adventures in Wonderland / Through the Looking-Glass
",1,undefined
1661489,43335,"
      Jane Eyre
",1,undefined
693116,17870,"
      Les Misérables
",0,undefined
1732097,49362,"
      Fahrenheit 451
",0,undefined
2988154,108877,"
      Divergent
",1,undefined
2313660,38480,"
      Lord of the Flies
",0,undefined
2094342,19726,"
      Romeo and Juliet
",0,undefined
2174477,82729,"
      The Alchemist
",0,undefined
1281243,58661,"
      The Perks of Being a Wallflower
",0,undefined
3876730,68957,"
      The Great Gatsby
",0,undefined
646266,19996,"
      Crime and Punishment
",0,undefined
1655374,62670,"
      City of Bones
",1,undefined
1156769,43661,"
      Ender's Game
",1,undefined
2217924,85060,"
      The Help
",0,undefined
7279487,115324,"
      Harry Potter and the Sorcerer's Stone
",1,undefined
1422171,41254,"
      The Little Prince
",0,undefined
749473,23907,"
      Anne of Green Gables
",1,undefined
1454084,18501,"
      Charlotte's Web
",0,undefined
1985058,35159,"
      Of Mice and Men
",0,undefined
1599286,47612,"
      The Time Traveler's Wife
",0,undefined
965457,27229,"
      Dracula
",0,undefined
1475247,31466,"
      Brave New World
",0,undefined
770237,31439,"
      One Hundred Years of Solitude
",0,undefined
2057003,62464,"
      The Lightning Thief
",1,undefined
2798534,58685,"
      The Catcher in the Rye
",0,undefined
793869,20636,"
      The Princess Bride
",0,undefined
916304,19428,"
      The Secret Garden
",0,undefined
1179376,55175,"
      A Thousand Splendid Suns
",0,undefined
2046885,54967,"
      A Game of Thrones
",1,undefined
1068049,34273,"
      A Wrinkle in Time
",1,undefined
1164290,15794,"
      The Adventures of Huckleberry Finn
",1,undefined
964552,33929,"
      The Outsiders
",0,undefined
2052531,40807,"
      The Lovely Bones
",0,undefined
836322,12026,"
      Where the Wild Things Are
",0,undefined
634397,9573,"
      Green Eggs and Ham
",0,undefined
877284,12626,"
      The Odyssey
",0,undefined
1366456,47608,"
      Life of Pi
",0,undefined
821810,17840,"
      A Tale of Two Cities
",0,undefined
1404581,59044,"
      Water for Elephants
",0,undefined
675668,25283,"
      Lolita
",0,undefined
1150861,27540,"
      Slaughterhouse-Five
",0,undefined
2483008,74898,"
      The Kite Runner
",0,undefined
1192450,34890,"
      Frankenstein: The 1818 Text
",0,undefined
1508671,72324,"
      The Handmaid's Tale
",1,undefined
1836382,65998,"
      The Giver
",1,undefined
806220,25712,"
      Dune
",1,undefined
734600,18640,"
      Catch-22
",1,undefined
630118,21419,"
      The Stand
",0,undefined
667769,32063,"
      The Pillars of the Earth
",1,undefined
249156,6957,"
      The Adventures of Sherlock Holmes
",1,undefined
440939,14015,"
      Watership Down
",1,undefined
664811,16434,"
      Great Expectations
",0,undefined
1715667,31138,"
      Little Women
",1,undefined
2883244,66759,"
      Harry Potter and the Deathly Hallows
",1,undefined
606354,23870,"
      The Bell Jar
",0,undefined
681129,24903,"
      Anna Karenina
",0,undefined
641349,11366,"
      One Flew Over the Cuckoo's Nest
",0,undefined
674122,17072,"
      Matilda
",0,undefined
3249346,72354,"
      1984
",0,undefined
847180,46080,"
      Outlander
",1,undefined
1072348,33675,"
      My Sister's Keeper
",0,undefined
2666420,69213,"
      The Girl with the Dragon Tattoo
",1,undefined
470954,25510,"
      Rebecca
",0,undefined
532894,15838,"
      The Color Purple
",1,undefined
394312,21049,"
      A Tree Grows in Brooklyn
",0,undefined
612729,14139,"
      A Clockwork Orange
",0,undefined
249627,11570,"
      The Brothers Karamazov
",1,undefined
731588,46343,"
      The Road
",0,undefined
549904,12079,"
      Angela's Ashes
",1,undefined
562149,22401,"
      Vampire Academy
",1,undefined
598073,18077,"
      Siddhartha
",0,undefined
665812,23486,"
      The Poisonwood Bible
",0,undefined
2902212,57134,"
      Harry Potter and the Prisoner of Azkaban
",1,undefined
1312516,22774,"
      The Golden Compass
",1,undefined
215474,8351,"
      Don Quixote
",0,undefined
2400060,23527,"
      The Fellowship of the Ring
",1,undefined
357997,17586,"
      Atlas Shrugged
",0,undefined
855093,25967,"
      The Old Man and the Sea
",0,undefined
1359830,20227,"
      The Notebook
",1,undefined
225436,2249,"
      The Complete Stories and Poems
",0,undefined
278443,4958,"
      Winnie-the-Pooh
",1,undefined
494198,10501,"
      Interview with the Vampire
",1,undefined
288639,13969,"
      A Prayer for Owen Meany
",0,undefined
485497,16071,"
      Moby-Dick or, the Whale
",0,undefined
2671820,47861,"
      Harry Potter and the Goblet of Fire
",1,undefined
527580,19402,"
      The Red Tent
",0,undefined
1133728,30784,"
      The Secret Life of Bees
",0,undefined
688113,32421,"
      Clockwork Angel
",1,undefined
2506170,40523,"
      Harry Potter and the Half-Blood Prince
",1,undefined
861317,35069,"
      And Then There Were None
",0,undefined
587730,23353,"
      Middlesex
",0,undefined
729657,24100,"
      The Stranger
",0,undefined
251017,12024,"
      The Master and Margarita
",0,undefined
1155908,25711,"
      The Shining
",1,undefined
739187,42902,"
      The Name of the Wind
",1,undefined
775008,10250,"
      The Adventures of Tom Sawyer
",1,undefined
1469983,22484,"
      Eragon
",1,undefined
683158,12297,"
      Charlie and the Chocolate Factory
",1,undefined
490653,19093,"
      Flowers for Algernon
",0,undefined
667580,18599,"
      The Metamorphosis
",0,undefined
355301,15217,"
      On the Road
",1,undefined
1144671,56833,"
      Looking for Alaska
",0,undefined
1219419,44753,"
      The Curious Incident of the Dog in the Night-Time
",0,undefined
479020,36831,"
      The Shadow of the Wind
",1,undefined
406888,8131,"
      The Very Hungry Caterpillar
",0,undefined
801198,26657,"
      Tuesdays with Morrie
",0,undefined
351337,15885,"
      The Unbearable Lightness of Being
",0,undefined
2815129,54411,"
      Harry Potter and the Chamber of Secrets
",1,undefined
307238,9169,"
      The Name of the Rose
",0,undefined
349252,11281,"
      Where the Red Fern Grows
",0,undefined
342993,8919,"
      The Godfather
",1,undefined
716959,14971,"
      The Scarlet Letter
",0,undefined
543817,17019,"
      In Cold Blood
",0,undefined
588503,21032,"
      The Five People You Meet in Heaven
",1,undefined
507682,14803,"
      Fight Club
",1,undefined
589297,25224,"
      Hush, Hush
",1,undefined
759335,21855,"
      The Count of Monte Cristo
",0,undefined
441918,5956,"
      The Cat in the Hat
",1,undefined
776763,39077,"
      American Gods
",1,undefined
341284,14896,"
      Perfume: The Story of a Murderer
",0,undefined
2185490,22566,"
      The Lion, the Witch and the Wardrobe
",1,undefined
152573,7796,"
      Lonesome Dove
",1,undefined
991015,20817,"
      Holes
",1,undefined
692165,24172,"
      The Last Olympian
",1,undefined
826884,26237,"
      It
",0,undefined
493169,14399,"
      Watchmen
",1,undefined
143369,2229,"
      The Little House Collection
",1,undefined
123892,4000,"
      The Divine Comedy
",1,undefined
288330,11749,"
      Peter Pan
",0,undefined
360954,10704,"
      All Quiet on the Western Front
",1,undefined
2972633,49529,"
      The Hobbit, or There and Back Again
",1,undefined
8510,130,"
      The Compleat Works of Wllm Shkspr (abridged)
",0,undefined
421351,20868,"
      Love in the Time of Cholera
",0,undefined
1197315,59049,"
      Insurgent
",1,undefined
333171,11412,"
      Shadow Kiss
",1,undefined
318925,6119,"
      The Thorn Birds
",0,undefined
686258,13286,"
      A Walk to Remember
",0,undefined
341154,3516,"
      How the Grinch Stole Christmas!
",0,undefined
292145,5394,"
      The Ultimate Hitchhiker's Guide to the Galaxy
",1,undefined
1505649,54128,"
      Eat, Pray, Love
",0,undefined
307100,9515,"
      The Importance of Being Earnest
",0,undefined
447157,17519,"
      Atonement
",0,undefined
271277,14013,"
      Their Eyes Were Watching God
",0,undefined
278273,6946,"
      The Three Musketeers
",1,undefined
381132,12991,"
      The Wonderful Wizard of Oz
",1,undefined
317745,11416,"
      Frostbite
",1,undefined
313178,5969,"
      Goodnight Moon
",1,undefined
561196,28193,"
      Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch
",0,undefined
291375,4184,"
      The Lorax
",0,undefined
2400037,23526,"
      The Fellowship of the Ring
",1,undefined
283777,9895,"
      Blood Promise
",1,undefined
241947,8868,"
      Tess of the D'Urbervilles
",0,undefined
765420,19926,"
      The Battle of the Labyrinth
",1,undefined
351732,30848,"
      Clockwork Princess
",1,undefined
351732,30848,"
      Clockwork Princess
",,
449482,8272,"
      A Midsummer Night's Dream
",0,undefined
241138,9912,"
      The Prophet
",0,undefined
711558,21764,"
      The Titan's Curse
",1,undefined
775661,27814,"
      The Sea of Monsters
",1,undefined
195283,6842,"
      The Mists of Avalon
",1,undefined
603769,9418,"
      The Joy Luck Club
",0,undefined
381690,5389,"
      Alice in Wonderland
",1,undefined
349912,11385,"
      The Call of the Wild
",0,undefined
207157,8171,"
      Jonathan Livingston Seagull
",0,undefined
260861,10910,"
      Madame Bovary
",0,undefined
190809,6922,"
      The Hunger Games Trilogy Boxset
",1,undefined
455921,12694,"
      Bridge to Terabithia
",0,undefined
251208,10553,"
      The Phantom Tollbooth
",0,undefined
1095667,56160,"
      The Maze Runner
",1,undefined
337969,5376,"
      Oh, the Places You'll Go!
",0,undefined
822575,34379,"
      The Girl Who Played with Fire
",1,undefined
171930,6775,"
      The Neverending Story
",0,undefined
325594,7726,"
      Oliver Twist
",0,undefined
112973,6916,"
      Ulysses
",0,undefined
410220,12001,"
      Treasure Island
",0,undefined
2001879,78809,"
      Fifty Shades of Grey
",1,undefined
232933,6677,"
      The Clan of the Cave Bear
",1,undefined
676793,22322,"
      A Storm of Swords
",1,undefined
191943,3423,"
      The Canterbury Tales
",0,undefined
206813,5568,"
      The World According to Garp
",0,undefined
267374,9852,"
      A Farewell to Arms
",0,undefined
202037,6804,"
      David Copperfield
",0,undefined
790894,52197,"
      Tote Mädchen lügen nicht
",0,undefined
578524,24632,"
      Wicked: The Life and Times of the Wicked Witch of the West
",1,undefined
397500,24613,"
      Murder on the Orient Express
",1,undefined
149306,4375,"
      Shōgun
",1,undefined
385702,23392,"
      Extremely Loud & Incredibly Close
",0,undefined
147374,5264,"
      His Dark Materials
",1,undefined
275980,7319,"
      A Little Princess
",0,undefined
147320,2327,"
      Schindler's List
",0,undefined
542289,27483,"
      The Boy in the Striped Pajamas
",0,undefined
461299,16851,"
      The Other Boleyn Girl
",1,undefined
708584,75033,"
      The Night Circus
",0,undefined
815517,12860,"
      Jurassic Park
",1,undefined
507378,19861,"
      Fallen
",1,undefined
260279,11285,"
      Last Sacrifice
",1,undefined
333208,13114,"
      Beloved
",1,undefined
225866,8277,"
      The Silmarillion
",1,undefined
4345,462,"
      The Secret Magdalene
",0,undefined
936750,50713,"
      The Selection
",1,undefined
2587013,97668,"
      Catching Fire
",1,undefined
645733,22443,"
      The Lost Hero
",1,undefined
227342,3645,"
      The Velveteen Rabbit
",0,undefined
241094,7874,"
      The Trial
",0,undefined
234921,15259,"
      A Confederacy of Dunces
",0,undefined
630479,45386,"
      Throne of Glass
",1,undefined
370400,13095,"
      The Sun Also Rises
",0,undefined
456321,23863,"
      Clockwork Prince
",1,undefined
265667,8968,"
      Spirit Bound
",1,undefined
64041,782,"
      The Iliad/The Odyssey
",0,undefined
329524,7836,"
      The Crucible
",0,undefined
343508,11104,"
      Cat's Cradle
",0,undefined
249372,14092,"
      The God of Small Things
",0,undefined
183671,6191,"
      The Wind in the Willows
",0,undefined
264830,10389,"
      The Hiding Place: The Triumphant True Story of Corrie Ten Boom
",0,undefined
341072,11606,"
      The Screwtape Letters
",1,undefined
636854,9965,"
      Girl with a Pearl Earring
",0,undefined
381902,3019,"
      A Light in the Attic
",0,undefined
424803,22798,"
      Man's Search for Meaning
",0,undefined
473929,6106,"
      The Silence of the Lambs
",1,undefined
496358,23244,"
      City of Fallen Angels
",1,undefined
440503,23073,"
      Shiver
",1,undefined
571823,23736,"
      Uglies
",1,undefined
318975,10181,"
      She's Come Undone
",0,undefined
393621,10359,"
      Ella Enchanted
",1,undefined
706697,55357,"
      Cinder
",1,undefined
202418,6996,"
      The Phantom of the Opera
",1,undefined
446622,14205,"
      Marley and Me: Life and Love With the World's Worst Dog
",0,undefined
223357,14454,"
      The Wind-Up Bird Chronicle
",1,undefined
253885,8023,"
      The Green Mile
",1,undefined
801309,24112,"
      A Clash of Kings
",1,undefined
207989,16842,"
      Blindness
",1,undefined
160087,7203,"
      The Sound and the Fury
",0,undefined
549721,33265,"
      The Shack
",0,undefined
439981,14388,"
      Marked
",1,undefined
252400,6650,"
      For Whom the Bell Tolls
",0,undefined
303497,6585,"
      Fear and Loathing in Las Vegas
",0,undefined
625439,54688,"
      The Guernsey Literary and Potato Peel Pie Society
",0,undefined
195037,8828,"
      The House of the Spirits
",1,undefined
35628,1060,"
      The Complete Calvin and Hobbes
",1,undefined
2830557,29785,"
      The Diary of a Young Girl
",0,undefined
512905,13160,"
      Misery
",0,undefined
226800,15721,"
      Howl's Moving Castle
",1,undefined
148505,3522,"
      Roots: The Saga of an American Family
",0,undefined
278966,8182,"
      Stranger in a Strange Land
",0,undefined
298208,8473,"
      Island of the Blue Dolphins
",1,undefined
330369,24335,"
      The Secret History
",0,undefined
657107,29212,"
      The Girl Who Kicked the Hornet's Nest
",1,undefined
148525,9506,"
      Midnight Sun [2008 Draft]
",1,undefined
324224,7397,"
      White Oleander
",0,undefined
558463,28424,"
      Beautiful Disaster
",1,undefined
3927,214,"
      Flow Down Like Silver: Hypatia of Alexandria
",0,undefined
423979,26436,"
      Delirium
",1,undefined
954013,48881,"
      Paper Towns
",0,undefined
321169,6567,"
      Othello
",0,undefined
491698,23783,"
      Speak
",0,undefined
136829,5377,"
      The Idiot
",0,undefined
179868,3815,"
      The Vampire Lestat
",1,undefined
184318,4636,"
      King Lear
",0,undefined
103837,4058,"
      The Once and Future King
",1,undefined
291604,9168,"
      I Know This Much Is True
",0,undefined
899039,22065,"
      Into the Wild
",0,undefined
380982,12199,"
      Inkheart
",1,undefined
439632,23060,"
      Neverwhere
",1,undefined
201377,7938,"
      Uncle Tom's Cabin
",0,undefined
155077,11948,"
      Lamb: The Gospel According to Biff, Christ's Childhood Pal
",0,undefined
2394263,133766,"
      Gone Girl
",0,undefined
178611,3738,"
      The Complete Sherlock Holmes
",1,undefined
247120,16346,"
      The Historian
",0,undefined
9249,705,"
      Blood River: A Journey to Africa's Broken Heart
",0,undefined
224277,7933,"
      Candide
",0,undefined
389185,7203,"
      James and the Giant Peach
",0,undefined
159217,6108,"
      Invisible Man
",0,undefined
141210,3881,"
      Paradise Lost
",0,undefined
117740,4134,"
      All Creatures Great and Small
",1,undefined
91733,2693,"
      Leaves of Grass
",0,undefined
395674,22491,"
      Graceling
",1,undefined
259412,14628,"
      The Things They Carried
",0,undefined
50371,867,"
      The Complete Works
",0,undefined
420174,10090,"
      Foundation
",1,undefined
276962,23208,"
      The Thirteenth Tale
",0,undefined
360797,21753,"
      Norwegian Wood
",1,undefined
180665,4690,"
      Different Seasons
",0,undefined
422829,11333,"
      The Time Machine
",0,undefined
163243,3986,"
      The Cider House Rules
",0,undefined
317295,22203,"
      Kafka on the Shore
",1,undefined
174783,3997,"
      Heidi
",1,undefined
193750,6681,"
      Are You There God? It's Me, Margaret
",0,undefined
437961,20472,"
      City of Lost Souls
",1,undefined
206147,11282,"
      Sophie's World
",0,undefined
162608,5528,"
      Walden
",0,undefined
440785,22198,"
      The Wise Man's Fear
",1,undefined
594214,51816,"
      Fangirl
",0,undefined
952,135,"
      زندگی مه آلود پریا
",0,undefined
172888,7629,"
      The Awakening
",0,undefined
82469,2584,"
      Sophie's Choice
",0,undefined
487219,32407,"
      Never Let Me Go
",0,undefined
427757,16046,"
      The Son of Neptune
",1,undefined
196063,4309,"
      The Prince of Tides
",0,undefined
364576,42097,"
      A Court of Mist and Fury
",1,undefined
269505,6802,"
      Fried Green Tomatoes at the Whistle Stop Cafe
",1,undefined
896515,88662,"
      Ready Player One
",1,undefined
502665,18409,"
      Dead Until Dark
",1,undefined
760084,29210,"
      Fifty Shades Darker
",1,undefined
2408147,104735,"
      Mockingjay
",1,undefined
121172,3016,"
      The Monster at the End of this Book
",1,undefined
137489,7878,"
      Middlemarch
",0,undefined
295854,14361,"
      Things Fall Apart
",1,undefined
890667,9931,"
      Bridget Jones's Diary
",1,undefined
228930,10275,"
      Mrs. Dalloway
",0,undefined
188039,6776,"
      Franny and Zooey
",0,undefined
423796,13744,"
      The Magician's Nephew
",1,undefined
454528,17002,"
      The Mark of Athena
",1,undefined
81033,5307,"
      The Power of One
",1,undefined
717328,5491,"
      A Time to Kill
",1,undefined
368250,18883,"
      Stardust
",0,undefined
579095,11774,"
      The Lord of the Rings
",1,undefined
319598,21069,"
      The Way of Kings
",1,undefined
525287,19310,"
      The Gunslinger
",1,undefined
848495,66097,"
      Allegiant
",1,undefined
460997,13643,"
      Number the Stars
",0,undefined
309040,12642,"
      A Short History of Nearly Everything
",0,undefined
422863,29106,"
      Legend
",1,undefined
356362,13496,"
      Do Androids Dream of Electric Sheep?
",1,undefined
1190111,83565,"
      Me Before You
",1,undefined
886730,67210,"
      Eleanor & Park
",0,undefined
458393,39266,"
      The Art of Racing in the Rain
",0,undefined
244005,5007,"
      Black Beauty
",0,undefined
235845,5674,"
      Gulliver's Travels
",0,undefined
262472,8385,"
      The Hound of the Baskervilles
",1,undefined
765279,66899,"
      Wonder
",1,undefined
129766,5419,"
      A Portrait of the Artist as a Young Man
",0,undefined
726484,38611,"
      If I Stay
",1,undefined
450809,32118,"
      The Graveyard Book
",0,undefined
244352,15369,"
      Bel Canto
",0,undefined
325848,7957,"
      The Witches
",0,undefined
270136,5615,"
      V for Vendetta
",1,undefined
247879,10514,"
      American Psycho
",0,undefined
206855,5337,"
      Love You Forever
",0,undefined
30099,656,"
      The Complete Novels
",0,undefined
58300,3106,"
      القرآن الكريم
",0,undefined
157615,4801,"
      White Fang
",0,undefined
727596,26551,"
      Fifty Shades Freed
",1,undefined
419345,29014,"
      The Final Empire
",1,undefined
223982,5787,"
      Cold Mountain
",0,undefined
245233,6773,"
      Beowulf
",0,undefined
551153,22102,"
      Beautiful Creatures
",1,undefined
240092,9468,"
      Tuck Everlasting
",0,undefined
238832,10794,"
      Go Ask Alice
",0,undefined
295504,13183,"
      Dark Lover
",1,undefined
139248,5037,"
      Steppenwolf
",0,undefined
366709,9720,"
      Eldest
",1,undefined
402497,13013,"
      The Eye of the World
",1,undefined
143623,8154,"
      The Complete Maus
",1,undefined
224088,1351,"
      The Tell-Tale Heart and Other Writings
",0,undefined
138919,7628,"
      As I Lay Dying
",0,undefined
192920,7566,"
      A Separate Peace
",0,undefined
289054,10061,"
      Mansfield Park
",0,undefined
185778,11056,"
      The Amazing Adventures of Kavalier & Clay
",0,undefined
310532,9185,"
      Brisingr
",1,undefined
234659,18085,"
      Obsidian
",1,undefined
346783,42294,"
      Six of Crows
",1,undefined
436615,19952,"
      East of Eden
",0,undefined
384565,16018,"
      A Child Called ""It""
",1,undefined
302245,14748,"
      Stargirl
",1,undefined
222002,19626,"
      Cloud Atlas
",0,undefined
121519,5064,"
      Tao Te Ching
",0,undefined
547435,11560,"
      Dear John
",0,undefined
342386,10776,"
      'Salem's Lot
",0,undefined
841159,73701,"
      The Martian
",1,undefined
105964,6519,"
      Midnight's Children
",0,undefined
214875,8073,"
      The Martian Chronicles
",0,undefined
115142,4747,"
      The English Patient
",0,undefined
281586,11252,"
      Crescendo
",1,undefined
510423,12022,"
      The Last Song
",0,undefined
205586,8784,"
      Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
",1,undefined
301975,29571,"
      Shatter Me
",1,undefined
574055,3529,"
      The Firm
",0,undefined
174787,5102,"
      The Hunchback of Notre-Dame
",0,undefined
308252,10640,"
      The Amber Spyglass
",1,undefined
121246,7556,"
      My Ántonia
",1,undefined
84762,3262,"
      Doctor Zhivago
",0,undefined
252114,6832,"
      Robinson Crusoe
",1,undefined
146790,5014,"
      Inferno
",1,undefined
327673,9535,"
      Like Water for Chocolate
",1,undefined
728419,47379,"
      Room
",0,undefined
385993,10379,"
      The BFG
",0,undefined
293450,15144,"
      Dragonfly in Amber
",1,undefined
214392,10788,"
      Breakfast at Tiffany's and Three Stories
",0,undefined
226279,7089,"
      Breakfast of Champions
",0,undefined
256803,7442,"
      Harry Potter Series Box Set
",1,undefined
301550,24020,"
      City of Heavenly Fire
",1,undefined
101946,2505,"
      The Origin of Species
",0,undefined
321746,29534,"
      Daughter of Smoke & Bone
",1,undefined
268401,9824,"
      Evermore
",1,undefined
131943,9174,"
      A Fine Balance
",0,undefined
398334,13585,"
      The Strange Case of Dr. Jekyll and Mr. Hyde
",0,undefined
431871,38631,"
      11/22/63
",0,undefined
745978,13151,"
      Hamlet
",0,undefined
377748,10280,"
      The Subtle Knife
",1,undefined
229208,9076,"
      Midnight in the Garden of Good and Evil
",0,undefined
189989,4910,"
      Death of a Salesman
",0,undefined
179031,8606,"
      The Plague
",0,undefined
264369,4186,"
      A Streetcar Named Desire
",0,undefined
266814,8657,"
      The Prince
",0,undefined
75917,9081,"
      Infinite Jest
",0,undefined
343815,17908,"
      Snow Flower and the Secret Fan
",0,undefined
370946,29701,"
      Anna and the French Kiss
",1,undefined
205391,14532,"
      The Remains of the Day
",0,undefined
59268,1223,"
      Faust, First Part
",1,undefined
1005679,61657,"
      Miss Peregrine's Home for Peculiar Children
",1,undefined
638889,21939,"
      A Feast for Crows
",1,undefined
209162,9408,"
      The Angel Experiment
",1,undefined
164983,8459,"
      Flowers in the Attic
",1,undefined
667860,33213,"
      Matched
",1,undefined
1068430,77083,"
      All the Light We Cannot See
",0,undefined
274278,21838,"
      Hopeless
",1,undefined
131612,5099,"
      The Shipping News
",0,undefined
787502,46633,"
      Unbroken: A World War II Story of Survival, Resilience and Redemption
",0,undefined
126289,6418,"
      The Scarlet Pimpernel
",1,undefined
87427,4272,"
      The Chosen
",1,undefined
